[C] Received | Sender: [A] | Topic: chat | Message: ni hao! | Latency: 0.0117s
[E] Received | Sender: [A] | Topic: chat | Message: ni hao! | Latency: 0.0172s
[D] Received | Sender: [A] | Topic: chat | Message: ni hao! | Latency: 0.0188s
[A] Received | Sender: [A] | Topic: chat | Message: ni hao! | Latency: 0.0266s
[F] Received | Sender: [A] | Topic: chat | Message: ni hao! | Latency: 0.0077s
[C] Received | Sender: [A] | Topic: chat | Message: ni hao! | Latency: 0.0151s
[A] Received | Sender: [A] | Topic: chat | Message: ni hao! | Latency: 0.0190s
[B] Received | Sender: [A] | Topic: chat | Message: ni hao! | Latency: 0.0193s
[E] Received | Sender: [A] | Topic: chat | Message: ni hao! | Latency: 0.0231s
[D] Received | Sender: [A] | Topic: chat | Message: ni hao! | Latency: 0.0240s
[E] Received | Sender: [A] | Topic: chat | Message: ni hao! | Latency: 0.0031s
[B] Received | Sender: [A] | Topic: chat | Message: ni hao! | Latency: 0.0067s
[D] Received | Sender: [A] | Topic: chat | Message: ni hao! | Latency: 0.0068s
[A] Received | Sender: [A] | Topic: chat | Message: ni hao! | Latency: 0.0104s
[C] Received | Sender: [A] | Topic: chat | Message: ni hao! | Latency: 0.0114s
[F] Received | Sender: [A] | Topic: chat | Message: ni hao! | Latency: 0.0160s
[D] Received | Sender: [A] | Topic: chat | Message: ni hao! | Latency: 0.0022s
[F] Received | Sender: [A] | Topic: chat | Message: ni hao! | Latency: 0.0045s
[C] Received | Sender: [A] | Topic: chat | Message: ni hao! | Latency: 0.0045s
[E] Received | Sender: [A] | Topic: chat | Message: ni hao! | Latency: 0.0070s
[B] Received | Sender: [A] | Topic: chat | Message: ni hao! | Latency: 0.0072s
[A] Received | Sender: [A] | Topic: chat | Message: ni hao! | Latency: 0.0109s
[F] Received | Sender: [A] | Topic: chat | Message: ni hao! | Latency: 0.0033s
[B] Received | Sender: [A] | Topic: chat | Message: ni hao! | Latency: 0.0072s
[A] Received | Sender: [A] | Topic: chat | Message: ni hao! | Latency: 0.0071s
[D] Received | Sender: [A] | Topic: chat | Message: ni hao! | Latency: 0.0101s
[E] Received | Sender: [A] | Topic: chat | Message: ni hao! | Latency: 0.0104s
[F] Received | Sender: [A] | Topic: chat | Message: ni hao! | Latency: 0.0033s
[B] Received | Sender: [A] | Topic: chat | Message: ni hao! | Latency: 0.0059s
[E] Received | Sender: [A] | Topic: chat | Message: ni hao! | Latency: 0.0085s
[C] Received | Sender: [A] | Topic: chat | Message: ni hao! | Latency: 0.0086s
[A] Received | Sender: [A] | Topic: chat | Message: ni hao! | Latency: 0.0113s
[D] Received | Sender: [A] | Topic: chat | Message: ni hao! | Latency: 0.0118s
[E] Received | Sender: [A] | Topic: chat | Message: ni hao! | Latency: 0.0046s
[F] Received | Sender: [A] | Topic: chat | Message: ni hao! | Latency: 0.0073s
[B] Received | Sender: [A] | Topic: chat | Message: ni hao! | Latency: 0.0104s
[C] Received | Sender: [A] | Topic: chat | Message: ni hao! | Latency: 0.0105s
[A] Received | Sender: [A] | Topic: chat | Message: ni hao! | Latency: 0.0122s
[D] Received | Sender: [A] | Topic: chat | Message: ni hao! | Latency: 0.0196s
[E] Received | Sender: [A] | Topic: chat | Message: ni hao! | Latency: 0.0027s
[F] Received | Sender: [A] | Topic: chat | Message: ni hao! | Latency: 0.0062s
[C] Received | Sender: [A] | Topic: chat | Message: ni hao! | Latency: 0.0093s
[A] Received | Sender: [A] | Topic: chat | Message: ni hao! | Latency: 0.0101s
[D] Received | Sender: [A] | Topic: chat | Message: ni hao! | Latency: 0.0149s
[B] Received | Sender: [A] | Topic: chat | Message: ni hao! | Latency: 0.0158s
[C] Received | Sender: [A] | Topic: chat | Message: ni hao! | Latency: 0.0043s
[E] Received | Sender: [A] | Topic: chat | Message: ni hao! | Latency: 0.0078s
[B] Received | Sender: [A] | Topic: chat | Message: ni hao! | Latency: 0.0085s
[D] Received | Sender: [A] | Topic: chat | Message: ni hao! | Latency: 0.0119s
[A] Received | Sender: [A] | Topic: chat | Message: ni hao! | Latency: 0.0119s
[F] Received | Sender: [A] | Topic: chat | Message: ni hao! | Latency: 0.0134s
[C] Received | Sender: [A] | Topic: chat | Message: ni hao! | Latency: 0.0023s
[E] Received | Sender: [A] | Topic: chat | Message: ni hao! | Latency: 0.0042s
[A] Received | Sender: [A] | Topic: chat | Message: ni hao! | Latency: 0.0069s
[B] Received | Sender: [A] | Topic: chat | Message: ni hao! | Latency: 0.0068s
[F] Received | Sender: [A] | Topic: chat | Message: ni hao! | Latency: 0.0073s
[D] Received | Sender: [A] | Topic: chat | Message: ni hao! | Latency: 0.0097s
[F] Received | Sender: [A] | Topic: chat | Message: ni hao! | Latency: 0.0016s
[E] Received | Sender: [A] | Topic: chat | Message: ni hao! | Latency: 0.0041s
[C] Received | Sender: [A] | Topic: chat | Message: ni hao! | Latency: 0.0045s
[D] Received | Sender: [A] | Topic: chat | Message: ni hao! | Latency: 0.0070s
[A] Received | Sender: [A] | Topic: chat | Message: ni hao! | Latency: 0.0072s
[B] Received | Sender: [A] | Topic: chat | Message: ni hao! | Latency: 0.0075s
[C] Received | Sender: [A] | Topic: chat | Message: ni hao! | Latency: 0.9993s
[D] Received | Sender: [A] | Topic: chat | Message: ni hao! | Latency: 0.0232s
[C] Received | Sender: [A] | Topic: chat | Message: ni hao! | Latency: 0.0355s
[A] Received | Sender: [A] | Topic: chat | Message: ni hao! | Latency: 0.0415s
[C] Received | Sender: [A] | Topic: chat | Message: ni hao! | Latency: 0.0028s
[F] Received | Sender: [A] | Topic: chat | Message: ni hao! | Latency: 0.0466s
[D] Received | Sender: [A] | Topic: chat | Message: ni hao! | Latency: 0.0075s
[F] Received | Sender: [A] | Topic: chat | Message: ni hao! | Latency: 0.0074s
[E] Received | Sender: [A] | Topic: chat | Message: ni hao! | Latency: 0.0529s
[A] Received | Sender: [A] | Topic: chat | Message: ni hao! | Latency: 0.0114s
[E] Received | Sender: [A] | Topic: chat | Message: ni hao! | Latency: 0.0120s
[D] Received | Sender: [A] | Topic: chat | Message: ni hao! | Latency: 0.0019s
